Participant,Strategy,Round No.,Object,Action,Explanation Level,State,Start Frame,End Frame,Start,End,Resolved?
C1-1,C1 Fixed Low,1,B,Pick,Low,Pre,637.0,672.0,1668438533.0,1668438541.0,TRUE
C1-1,C1 Fixed Low,1,B,Pick,Low,Failure,672.0,685.0,1668438541.0,1668438544.0,TRUE
C1-1,C1 Fixed Low,1,B,Pick,Low,Explanation,685.0,874.0,1668438544.0,1668438586.0,TRUE
C1-1,C1 Fixed Low,1,B,Pick,Low,Resolution,874.0,883.0,1668438586.0,1668438588.0,TRUE
C1-1,C1 Fixed Low,1,B,Carry,Low,Pre,883.0,924.0,1668438588.0,1668438597.0,TRUE
C1-1,C1 Fixed Low,1,B,Carry,Low,Failure,924.0,945.0,1668438597.0,1668438602.0,TRUE
C1-1,C1 Fixed Low,1,B,Carry,Low,Explanation,945.0,981.0,1668438602.0,1668438610.0,TRUE
C1-1,C1 Fixed Low,1,B,Carry,Low,Resolution,981.0,1101.0,1668438610.0,1668438637.0,TRUE
C1-1,C1 Fixed Low,1,D,Place,Low,Pre,1353.0,1410.0,1668438694.0,1668438707.0,FALSE
C1-1,C1 Fixed Low,1,D,Place,Low,Failure,1410.0,1424.0,1668438707.0,1668438710.0,FALSE
C1-1,C1 Fixed Low,1,D,Place,Low,Explanation,1424.0,1485.0,1668438710.0,1668438724.0,FALSE
C1-1,C1 Fixed Low,1,D,Place,Low,Resolution,1485.0,1547.0,1668438724.0,1668438738.0,FALSE
C1-1,C1 Fixed Low,2,A,Carry,Low,Pre,2410.0,2440.0,1668438932.0,1668438939.0,FALSE
C1-1,C1 Fixed Low,2,A,Carry,Low,Failure,2440.0,2463.0,1668438939.0,1668438944.0,FALSE
C1-1,C1 Fixed Low,2,A,Carry,Low,Explanation,2463.0,2515.0,1668438944.0,1668438956.0,FALSE
C1-1,C1 Fixed Low,2,A,Carry,Low,Resolution,2515.0,2645.0,1668438956.0,1668438985.0,FALSE
C1-1,C1 Fixed Low,2,C,Pick,Low,Pre,2846.0,2881.0,1668439030.0,1668439038.0,TRUE
C1-1,C1 Fixed Low,2,C,Pick,Low,Failure,2881.0,2898.0,1668439038.0,1668439042.0,TRUE
C1-1,C1 Fixed Low,2,C,Pick,Low,Explanation,2898.0,3006.0,1668439042.0,1668439066.0,TRUE
C1-1,C1 Fixed Low,2,C,Pick,Low,Resolution,3006.0,3019.0,1668439066.0,1668439069.0,TRUE
C1-1,C1 Fixed Low,3,A,Place,Low,Pre,4173.0,4190.0,1668439329.0,1668439333.0,FALSE
C1-1,C1 Fixed Low,3,A,Place,Low,Failure,4190.0,4203.0,1668439333.0,1668439336.0,FALSE
C1-1,C1 Fixed Low,3,A,Place,Low,Explanation,4203.0,4261.0,1668439336.0,1668439349.0,FALSE
C1-1,C1 Fixed Low,3,A,Place,Low,Resolution,4261.0,4344.0,1668439349.0,1668439368.0,FALSE
C1-1,C1 Fixed Low,3,B,Carry,Low,Pre,4406.0,4446.0,1668439382.0,1668439391.0,FALSE
C1-1,C1 Fixed Low,3,B,Carry,Low,Failure,4446.0,4468.0,1668439391.0,1668439396.0,FALSE
C1-1,C1 Fixed Low,3,B,Carry,Low,Explanation,4468.0,4524.0,1668439396.0,1668439409.0,FALSE
C1-1,C1 Fixed Low,3,B,Carry,Low,Resolution,4524.0,4684.0,1668439409.0,1668439445.0,FALSE
C1-1,C1 Fixed Low,4,A,Pick,Low,Pre,5678.0,5714.0,1668439669.0,1668439677.0,TRUE
C1-1,C1 Fixed Low,4,A,Pick,Low,Failure,5714.0,5728.0,1668439677.0,1668439680.0,TRUE
C1-1,C1 Fixed Low,4,A,Pick,Low,Explanation,5728.0,5839.0,1668439680.0,1668439705.0,TRUE
C1-1,C1 Fixed Low,4,A,Pick,Low,Resolution,5839.0,5852.0,1668439705.0,1668439708.0,TRUE
C1-1,C1 Fixed Low,4,C,Place,Low,Pre,6236.0,6249.0,1668439795.0,1668439798.0,FALSE
C1-1,C1 Fixed Low,4,C,Place,Low,Failure,6249.0,6267.0,1668439798.0,1668439802.0,FALSE
C1-1,C1 Fixed Low,4,C,Place,Low,Explanation,6267.0,6324.0,1668439802.0,1668439815.0,FALSE
C1-1,C1 Fixed Low,4,C,Place,Low,Resolution,6324.0,6422.0,1668439815.0,1668439837.0,FALSE
C1-1,C1 Fixed Low,4,D,Pick,Low,Pre,6449.0,6489.0,1668439843.0,1668439852.0,TRUE
C1-1,C1 Fixed Low,4,D,Pick,Low,Failure,6489.0,6502.0,1668439852.0,1668439855.0,TRUE
C1-1,C1 Fixed Low,4,D,Pick,Low,Explanation,6502.0,6612.0,1668439855.0,1668439880.0,TRUE
C1-1,C1 Fixed Low,4,D,Pick,Low,Resolution,6612.0,6625.0,1668439880.0,1668439883.0,TRUE
C1-1,C1 Fixed Low,4,D,Carry,Low,Pre,6625.0,6664.0,1668439883.0,1668439892.0,TRUE
C1-1,C1 Fixed Low,4,D,Carry,Low,Failure,6664.0,6687.0,1668439892.0,1668439897.0,TRUE
C1-1,C1 Fixed Low,4,D,Carry,Low,Explanation,6687.0,6718.0,1668439897.0,1668439904.0,TRUE
C1-1,C1 Fixed Low,4,D,Carry,Low,Resolution,6718.0,6814.0,1668439904.0,1668439926.0,TRUE
