Frame,Gaze
638,Task
639,Task
640,Task
641,Task
642,Robot
643,Robot
644,Robot
645,Robot
646,Robot
647,Robot
648,Robot
649,Robot
650,Robot
651,Robot
652,Robot
653,Robot
654,Task
655,Task
656,Task
657,Task
658,Task
659,Task
660,Task
661,Task
662,Task
663,Task
664,Task
665,Task
666,Task
667,Task
668,Task
669,Task
670,Task
671,Task
673,Task
674,Task
675,Task
676,Task
677,Task
678,Task
679,Task
680,Task
681,Task
682,Task
683,Robot
684,Robot
686,Robot
687,Robot
688,Robot
689,Robot
690,Task
691,Task
692,Task
693,Task
694,Robot
695,Robot
696,Robot
697,Robot
698,Robot
699,Robot
700,Task
701,Task
702,Task
703,Task
704,Robot
705,Task
706,Task
707,Task
708,Task
709,Robot
710,Robot
711,Robot
712,Robot
713,Robot
714,Robot
715,Robot
716,Task
717,Task
718,Task
719,Task
720,Task
721,Task
722,Task
723,Task
724,Task
725,Task
726,Task
727,Task
728,Task
729,Task
730,Task
731,Task
732,Task
733,Task
734,Task
735,Task
736,Task
737,Task
738,Task
739,Task
740,Task
741,Task
742,Task
743,Robot
744,Task
745,Task
746,Task
747,Task
748,Task
749,Task
750,Task
751,Task
752,Task
753,Task
754,Task
755,Task
756,Task
757,Task
758,Task
759,Task
760,Task
761,Task
762,Task
763,Task
764,Task
765,Task
766,Task
767,Task
768,Robot
769,Task
770,Task
771,Task
772,Task
773,Task
774,Task
775,Task
776,Task
777,Task
778,Task
779,Task
780,Task
781,Task
782,Task
783,Robot
784,Task
785,Task
786,Task
787,Task
788,Task
789,Task
790,Task
791,Task
792,Task
793,Task
794,Task
795,Task
796,Task
797,Task
798,Task
799,Task
800,Task
801,Task
802,Robot
803,Robot
804,Robot
805,Robot
806,Robot
807,Robot
808,Robot
809,Task
810,Task
811,Task
812,Task
813,Task
814,Robot
815,Robot
816,Robot
817,Robot
818,Robot
819,Task
820,Task
821,Robot
822,Robot
823,Robot
824,Robot
825,Robot
826,Task
827,Task
828,Task
829,Task
830,Task
831,Task
832,Task
833,Task
834,Robot
835,Robot
836,Robot
837,Task
838,Task
839,Task
840,Task
841,Task
842,Task
843,Task
844,Task
845,Task
846,Task
847,Task
848,Task
849,Task
850,Task
851,Task
852,Robot
853,Robot
854,Robot
855,Robot
856,Robot
857,Robot
858,Robot
859,Robot
860,Robot
861,Task
862,Task
863,Robot
864,Robot
865,Robot
866,Robot
867,Robot
868,Task
869,Task
870,Task
871,Task
872,Task
873,Task
875,Task
876,Task
877,Task
878,Task
879,Task
880,Task
881,Task
882,Task
884,Task
885,Task
886,Task
887,Task
888,Task
889,Task
890,Task
891,Task
892,Task
893,Task
894,Task
895,Task
896,Task
897,Task
898,Task
899,Task
900,Task
901,Robot
902,Robot
903,Task
904,Task
905,Task
906,Task
907,Task
908,Task
909,Task
910,Task
911,Task
912,Task
913,Task
914,Task
915,Task
916,Task
917,Task
918,Task
919,Task
920,Task
921,Task
922,Task
923,Task
925,Task
926,Task
927,Task
928,Task
929,Task
930,Task
931,Task
932,Task
933,Task
934,Task
935,Task
936,Task
937,Task
938,Robot
939,Robot
940,Robot
941,Robot
942,Robot
943,Robot
944,Task
946,Task
947,Task
948,Task
949,Task
950,Task
951,Task
952,Task
953,Robot
954,Robot
955,Robot
956,Robot
957,Robot
958,Robot
959,Robot
960,Robot
961,Robot
962,Robot
963,Robot
964,Robot
965,Robot
966,Task
967,Task
968,Robot
969,Robot
970,Robot
971,Task
972,Task
973,Task
974,Task
975,Task
976,Robot
977,Robot
978,Task
979,Task
980,Task
982,Robot
983,Robot
984,Robot
985,Task
986,Task
987,Task
988,Task
989,Task
990,Task
991,Robot
992,Robot
993,Task
994,Task
995,Task
996,Task
997,Task
998,Task
999,Task
1000,Task
1001,Task
1002,Task
1003,Robot
1004,Robot
1005,Robot
1006,Robot
1007,Robot
1008,Task
1009,Task
1010,Task
1011,Task
1012,Task
1013,Task
1014,Task
1015,Task
1016,Task
1017,Task
1018,Task
1019,Task
1020,Task
1021,Task
1022,Task
1023,Task
1024,Robot
1025,Robot
1026,Robot
1027,Robot
1028,Robot
1029,Robot
1030,Task
1031,Task
1032,Robot
1033,Robot
1034,Robot
1035,Robot
1036,Robot
1037,Robot
1038,Robot
1039,Robot
1040,Robot
1041,Task
1042,Task
1043,Task
1044,Task
1045,Task
1046,Task
1047,Robot
1048,Robot
1049,Robot
1050,Robot
1051,Robot
1052,Robot
1053,Robot
1054,Robot
1055,Robot
1056,Robot
1057,Robot
1058,Robot
1059,Robot
1060,Robot
1061,Robot
1062,Task
1063,Task
1064,Task
1065,Task
1066,Task
1067,Task
1068,Task
1069,Task
1070,Task
1071,Task
1072,Task
1073,Task
1074,Task
1075,Task
1076,Task
1077,Task
1078,Task
1079,Task
1080,Task
1081,Robot
1082,Robot
1083,Robot
1084,Robot
1085,Robot
1086,Robot
1087,Task
1088,Task
1089,Task
1090,Task
1091,Robot
1092,Robot
1093,Robot
1094,Robot
1095,Robot
1096,Robot
1097,Robot
1098,Robot
1099,Robot
1100,Robot
1354,Robot
1355,Task
1356,Task
1357,Task
1358,Task
1359,Task
1360,Task
1361,Task
1362,Task
1363,Task
1364,Task
1365,Task
1366,Task
1367,Task
1368,Task
1369,Task
1370,Task
1371,Task
1372,Task
1373,Task
1374,Task
1375,Task
1376,Task
1377,Task
1378,Task
1379,Task
1380,Task
1381,Task
1382,Task
1383,Task
1384,Task
1385,Task
1386,Task
1387,Task
1388,Task
1389,Task
1390,Task
1391,Task
1392,Task
1393,Task
1394,Task
1395,Task
1396,Task
1397,Task
1398,Task
1399,Task
1400,Task
1401,Task
1402,Task
1403,Task
1404,Task
1405,Task
1406,Task
1407,Task
1408,Task
1409,Task
1411,Task
1412,Task
1413,Task
1414,Task
1415,Task
1416,Task
1417,Task
1418,Task
1419,Task
1420,Task
1421,Task
1422,Robot
1423,Robot
1425,Task
1426,Task
1427,Robot
1428,Task
1429,Task
1430,Task
1431,Task
1432,Robot
1433,Robot
1434,Robot
1435,Robot
1436,Robot
1437,Task
1438,Task
1439,Task
1440,Task
1441,Task
1442,Task
1443,Robot
1444,Robot
1445,Robot
1446,Robot
1447,Task
1448,Task
1449,Task
1450,Task
1451,Task
1452,Robot
1453,Robot
1454,Robot
1455,Task
1456,Task
1457,Task
1458,Task
1459,Task
1460,Task
1461,Task
1462,Task
1463,Task
1464,Task
1465,Task
1466,Task
1467,Task
1468,Task
1469,Task
1470,Task
1471,Task
1472,Robot
1473,Robot
1474,Robot
1475,Task
1476,Task
1477,Task
1478,Task
1479,Task
1480,Task
1481,Task
1482,Task
1483,Robot
1484,Robot
1486,Robot
1487,Robot
1488,Robot
1489,Robot
1490,Robot
1491,Robot
1492,Robot
1493,Robot
1494,Task
1495,Task
1496,Task
1497,Task
1498,Robot
1499,Task
1500,Task
1501,Task
1502,Task
1503,Task
1504,Task
1505,Task
1506,Task
1507,Task
1508,Task
1509,Task
1510,Task
1511,Task
1512,Task
1513,Task
1514,Task
1515,Task
1516,Robot
1517,Robot
1518,Task
1519,Task
1520,Task
1521,Task
1522,Task
1523,Task
1524,Task
1525,Task
1526,Task
1527,Task
1528,Task
1529,Task
1530,Task
1531,Task
1532,Task
1533,Robot
1534,Task
1535,Task
1536,Task
1537,Robot
1538,Robot
1539,Robot
1540,Robot
1541,Task
1542,Task
1543,Task
1544,Task
1545,Task
1546,Task
2411,Task
2412,Task
2413,Task
2414,Task
2415,Task
2416,Task
2417,Task
2418,Task
2419,Task
2420,Task
2421,Task
2422,Task
2423,Task
2424,Task
2425,Task
2426,Task
2427,Task
2428,Task
2429,Task
2430,Task
2431,Task
2432,Task
2433,Task
2434,Task
2435,Task
2436,Task
2437,Task
2438,Task
2439,Task
2441,Task
2442,Task
2443,Task
2444,Task
2445,Task
2446,Task
2447,Task
2448,Task
2449,Task
2450,Task
2451,Task
2452,Task
2453,Task
2454,Task
2455,Task
2456,Task
2457,Robot
2458,Robot
2459,Robot
2460,Robot
2461,Task
2462,Task
2464,Task
2465,Task
2466,Task
2467,Task
2468,Task
2469,Task
2470,Task
2471,Task
2472,Task
2473,Robot
2474,Robot
2475,Robot
2476,Robot
2477,Task
2478,Task
2479,Task
2480,Task
2481,Task
2482,Task
2483,Task
2484,Task
2485,Task
2486,Task
2487,Task
2488,Task
