Frame,Stamp,Timestamp,Seconds,Time
1,1668438391758767682,0,0.0,00:00
2,1668438391960105873,201338191,0.201338191,00:00
3,1668438392157410963,398643281,0.398643281,00:00
4,1668438392355948603,597180921,0.597180921,00:00
5,1668438392556228996,797461314,0.797461314,00:00
6,1668438392776197491,1017429809,1.017429809,00:01
7,1668438393000158471,1241390789,1.241390789,00:01
8,1668438393186195672,1427427990,1.42742799,00:01
9,1668438393376793746,1618026064,1.618026064,00:01
10,1668438393584723958,1825956276,1.8259562759999999,00:01
11,1668438393774457453,2015689771,2.015689771,00:02
12,1668438393969645267,2210877585,2.210877585,00:02
13,1668438394172527681,2413759999,2.413759999,00:02
14,1668438394371872974,2613105292,2.613105292,00:02
15,1668438394581120582,2822352900,2.8223529000000003,00:02
16,1668438394779433575,3020665893,3.020665893,00:03
17,1668438394971093533,3212325851,3.212325851,00:03
18,1668438395164024933,3405257251,3.405257251,00:03
19,1668438395376178167,3617410485,3.6174104849999997,00:03
20,1668438395581690309,3822922627,3.822922627,00:03
21,1668438395780644971,4021877289,4.021877289,00:04
22,1668438395966296699,4207529017,4.207529017,00:04
23,1668438396181101679,4422333997,4.422333997,00:04
24,1668438396376505984,4617738302,4.617738302,00:04
25,1668438396555307172,4796539490,4.79653949,00:04
26,1668438396756982686,4998215004,4.998215004,00:04
27,1668438396961807117,5203039435,5.203039435,00:05
28,1668438397160167142,5401399460,5.40139946,00:05
29,1668438397358058072,5599290390,5.59929039,00:05
30,1668438397556338352,5797570670,5.79757067,00:05
31,1668438397758298286,5999530604,5.999530604,00:05
32,1668438397961520010,6202752328,6.202752328,00:06
33,1668438398155879864,6397112182,6.397112182,00:06
34,1668438398359590144,6600822462,6.600822462,00:06
35,1668438398554298279,6795530597,6.795530597,00:06
36,1668438398758962553,7000194871,7.000194871,00:07
37,1668438398969050668,7210282986,7.210282986,00:07
38,1668438399175452869,7416685187,7.416685187,00:07
39,1668438399382409857,7623642175,7.623642175,00:07
40,1668438399580611046,7821843364,7.821843364,00:07
41,1668438399802472346,8043704664,8.043704664,00:08
42,1668438399991420282,8232652600,8.2326526,00:08
